,objectid,listed_tax,map_taxon,scientific,vernacular,threatened,migratory,marine,cetacean,presence_r,presence_c,extract_da,taxon_grou,taxon_fami,taxon_orde,taxon_clas,taxon_phyl,taxon_king,other_ids,cell_size,regions,attributio,sprat_prof,shape_leng,shape_area,species
2334,2334,65890,65890,Pennantia endlicheri,Pennantia,Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Icacinaceae,Celastrales,Magnoliopsida,Magnoliophyta,Plantae,NA,0.01,NFI,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=65890,0.439999979,0.0036,Pennantia endlicheri
2418,2418,65890,65890,Pennantia endlicheri,Pennantia,Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Icacinaceae,Celastrales,Magnoliopsida,Magnoliophyta,Plantae,NA,0.01,NFI,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=65890,0.159999993,0.0013,Pennantia endlicheri
2321,2321,47,47,Peponocephala electra,Melon-headed Whale,NA,NA,NA,Cetacean,1,Species or species habitat may occur,22/01/2024,mammals,Delphinidae,Cetacea,Mammalia,Chordata,Animalia,NA,0.01,NSW; WA; CMA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=47,406.4599796,500.6700588,Peponocephala electra
2207,2207,278,278,Perameles bougainville,Shark Bay Bandicoot,Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,mammals,Peramelidae,Polyprotodonta,Mammalia,Chordata,Animalia,66631,0.01,NSW; WA; SA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=278,6.939999699,0.242299971,Perameles bougainville
351,351,66651,66651,Perameles gunnii gunnii,Eastern Barred Bandicoot (Tasmania),Vulnerable,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,mammals,Peramelidae,Polyprotodonta,Mammalia,Chordata,Animalia,NA,0.01,TAS,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66651,49.99999482,3.586899306,Perameles gunnii gunnii
352,352,66651,66651,Perameles gunnii gunnii,Eastern Barred Bandicoot (Tasmania),Vulnerable,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,mammals,Peramelidae,Polyprotodonta,Mammalia,Chordata,Animalia,NA,0.01,TAS,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66651,39.63999584,0.920699821,Perameles gunnii gunnii
3680,3680,88020,88020,Perameles gunnii Victorian subspecies,Eastern Barred Bandicoot (Mainland),Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,mammals,Peramelidae,Polyprotodonta,Mammalia,Chordata,Animalia,66641,0.01,VIC; SA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=88020,2.399999754,0.044899992,Perameles gunnii Victorian subspecies
156,156,84736,84736,Pericryptodrilus nanus,Lord Howe Earthworm,Critically Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,other-animals,Megascolecidae,Haplotaxida,Oligochaeta,Annelida,Animalia,NA,0.01,NSW,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=84736,0.099999997,0.0004,Pericryptodrilus nanus
157,157,84736,84736,Pericryptodrilus nanus,Lord Howe Earthworm,Critically Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,other-animals,Megascolecidae,Haplotaxida,Oligochaeta,Annelida,Animalia,NA,0.01,NSW,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=84736,0.159999991,0.0006,Pericryptodrilus nanus
1208,1208,5831,5831,Persicaria elatior,"Knotweed, Tall Knotweed",Vulnerable,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Polygonaceae,Polygonales,Magnoliopsida,Magnoliophyta,Plantae,23199,0.01,QLD; NSW,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=5831,29.91999829,0.806799898,Persicaria elatior
1209,1209,5831,5831,Persicaria elatior,"Knotweed, Tall Knotweed",Vulnerable,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Polygonaceae,Polygonales,Magnoliopsida,Magnoliophyta,Plantae,23199,0.01,QLD; NSW,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=5831,108.0399936,4.098099491,Persicaria elatior
2661,2661,7232,7232,Persoonia acerosa,Needle Geebung,Vulnerable,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Proteaceae,Proteales,Magnoliopsida,Magnoliophyta,Plantae,NA,0.01,NSW,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=7232,3.299999774,0.202899973,Persoonia acerosa
2686,2686,7232,7232,Persoonia acerosa,Needle Geebung,Vulnerable,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Proteaceae,Proteales,Magnoliopsida,Magnoliophyta,Plantae,NA,0.01,NSW,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=7232,9.059999359,0.246599967,Persoonia acerosa
1266,1266,56267,56267,Persoonia bargoensis,Bargo Geebung,Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Proteaceae,Proteales,Magnoliopsida,Magnoliophyta,Plantae,NA,0.01,NSW,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=56267,1.439999891,0.046199994,Persoonia bargoensis
1267,1267,56267,56267,Persoonia bargoensis,Bargo Geebung,Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Proteaceae,Proteales,Magnoliopsida,Magnoliophyta,Plantae,NA,0.01,NSW,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=56267,2.499999816,0.041399994,Persoonia bargoensis
2202,2202,12770,12770,Persoonia glaucescens,Mittagong Geebung,Vulnerable,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Proteaceae,Proteales,Magnoliopsida,Magnoliophyta,Plantae,NA,0.01,NSW,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=12770,1.759999878,0.050699993,Persoonia glaucescens
2203,2203,12770,12770,Persoonia glaucescens,Mittagong Geebung,Vulnerable,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Proteaceae,Proteales,Magnoliopsida,Magnoliophyta,Plantae,NA,0.01,NSW,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=12770,0.459999973,0.007499999,Persoonia glaucescens
589,589,19006,19006,Persoonia hirsuta,"Hairy Geebung, Hairy Persoonia",Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Proteaceae,Proteales,Magnoliopsida,Magnoliophyta,Plantae,NA,0.01,NSW,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=19006,14.53999902,0.568699922,Persoonia hirsuta
590,590,19006,19006,Persoonia hirsuta,"Hairy Geebung, Hairy Persoonia",Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Proteaceae,Proteales,Magnoliopsida,Magnoliophyta,Plantae,NA,0.01,NSW,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=19006,30.99999794,0.889299882,Persoonia hirsuta
186,186,10852,10852,Persoonia marginata,Clandulla Geebung,Vulnerable,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Proteaceae,Proteales,Magnoliopsida,Magnoliophyta,Plantae,NA,0.01,NSW,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10852,4.459999728,0.142999981,Persoonia marginata
539,539,10852,10852,Persoonia marginata,Clandulla Geebung,Vulnerable,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Proteaceae,Proteales,Magnoliopsida,Magnoliophyta,Plantae,NA,0.01,NSW,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10852,1.999999853,0.030799996,Persoonia marginata
722,722,64939,64939,Persoonia micranthera,Small-flowered Snottygobble,Critically Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Proteaceae,Proteales,Magnoliopsida,Magnoliophyta,Plantae,90355,0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64939,0.499999954,0.004099999,Persoonia micranthera
723,723,64939,64939,Persoonia micranthera,Small-flowered Snottygobble,Critically Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Proteaceae,Proteales,Magnoliopsida,Magnoliophyta,Plantae,90355,0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64939,1.339999875,0.013799998,Persoonia micranthera
2992,2992,56075,56075,Persoonia mollis subsp. maxima,NA,Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Proteaceae,Proteales,Magnoliopsida,Magnoliophyta,Plantae,NA,0.01,NSW,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=56075,0.619999959,0.005099999,Persoonia mollis maxima
2993,2993,56075,56075,Persoonia mollis subsp. maxima,NA,Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Proteaceae,Proteales,Magnoliopsida,Magnoliophyta,Plantae,NA,0.01,NSW,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=56075,1.659999912,0.029499996,Persoonia mollis maxima
411,411,56094,56094,Persoonia mollis subsp. revoluta,NA,Vulnerable,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Proteaceae,Proteales,Magnoliopsida,Magnoliophyta,Plantae,"543,055,433,454,545",0.01,NSW,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=56094,4.379999689,0.037699995,Persoonia mollis revoluta
1164,1164,56094,56094,Persoonia mollis subsp. revoluta,NA,Vulnerable,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Proteaceae,Proteales,Magnoliopsida,Magnoliophyta,Plantae,"543,055,433,454,545",0.01,NSW,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=56094,1.959999861,0.061899991,Persoonia mollis revoluta
2518,2518,18119,18119,Persoonia nutans,Nodding Geebung,Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Proteaceae,Proteales,Magnoliopsida,Magnoliophyta,Plantae,"52,994,541,075,411,100,000",0.01,NSW,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=18119,2.699999831,0.041399994,Persoonia nutans
2519,2519,18119,18119,Persoonia nutans,Nodding Geebung,Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Proteaceae,Proteales,Magnoliopsida,Magnoliophyta,Plantae,"52,994,541,075,411,100,000",0.01,NSW,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=18119,6.219999616,0.159399978,Persoonia nutans
995,995,16114,16114,Persoonia oxycoccoides,NA,Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Proteaceae,Proteales,Magnoliopsida,Magnoliophyta,Plantae,54170,0.01,NSW,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=16114,11.61999914,0.200999972,Persoonia oxycoccoides
1074,1074,16114,16114,Persoonia oxycoccoides,NA,Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Proteaceae,Proteales,Magnoliopsida,Magnoliophyta,Plantae,54170,0.01,NSW,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=16114,4.899999631,0.087299988,Persoonia oxycoccoides
326,326,67214,67214,Persoonia pauciflora,North Rothbury Persoonia,Critically Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Proteaceae,Proteales,Magnoliopsida,Magnoliophyta,Plantae,66035,0.01,NSW,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=67214,0.339999977,0.005299999,Persoonia pauciflora
327,327,67214,67214,Persoonia pauciflora,North Rothbury Persoonia,Critically Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Proteaceae,Proteales,Magnoliopsida,Magnoliophyta,Plantae,66035,0.01,NSW,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=67214,0.979999938,0.009699999,Persoonia pauciflora
1641,1641,92008,92008,Petauroides minor,"Greater Glider (northern), Greater Glider (north-eastern Queensland)",Vulnerable,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,mammals,Pseudocheiridae,Diprotodonta,Mammalia,Chordata,Animalia,87602,0.01,QLD,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=92008,244.7799918,6.112399601,Petauroides minor
1642,1642,92008,92008,Petauroides minor,"Greater Glider (northern), Greater Glider (north-eastern Queensland)",Vulnerable,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,mammals,Pseudocheiridae,Diprotodonta,Mammalia,Chordata,Animalia,87602,0.01,QLD,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=92008,230.6399921,3.204299779,Petauroides minor
2588,2588,254,254,Petauroides volans,Greater Glider (southern and central),Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,mammals,Pseudocheiridae,Diprotodonta,Mammalia,Chordata,Animalia,"8,760,188,283,882,840,000,000,000",0.01,ACT; QLD; NSW; VIC,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=254,719.8599628,36.19369621,Petauroides volans
2589,2589,254,254,Petauroides volans,Greater Glider (southern and central),Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,mammals,Pseudocheiridae,Diprotodonta,Mammalia,Chordata,Animalia,"8,760,188,283,882,840,000,000,000",0.01,ACT; QLD; NSW; VIC,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=254,785.3399567,15.36119814,Petauroides volans
2590,2590,254,254,Petauroides volans,Greater Glider (southern and central),Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,mammals,Pseudocheiridae,Diprotodonta,Mammalia,Chordata,Animalia,"8,760,188,283,882,840,000,000,000",0.01,ACT; QLD; NSW; VIC,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=254,179.8799936,3.066199786,Petauroides volans
1287,1287,87600,87600,Petaurus australis australis,Yellow-bellied Glider (south-eastern),Vulnerable,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,mammals,Petauridae,Diprotodonta,Mammalia,Chordata,Animalia,67194,0.01,ACT; QLD; NSW; VIC,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87600,211.8799858,27.17929641,Petaurus australis australis
1302,1302,87600,87600,Petaurus australis australis,Yellow-bellied Glider (south-eastern),Vulnerable,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,mammals,Petauridae,Diprotodonta,Mammalia,Chordata,Animalia,67194,0.01,ACT; QLD; NSW; VIC,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87600,345.3599786,16.31959813,Petaurus australis australis
3538,3538,88022,88022,Petaurus australis Wet Tropics subspecies,"Yellow-bellied Glider (Wet Tropics), Fluffy Glider",Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,mammals,Petauridae,Diprotodonta,Mammalia,Chordata,Animalia,"6,666,893,739",0.01,QLD,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=88022,9.679999783,0.200699989,Petaurus australis Wet Tropics subspecies
3556,3556,88022,88022,Petaurus australis Wet Tropics subspecies,"Yellow-bellied Glider (Wet Tropics), Fluffy Glider",Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,mammals,Petauridae,Diprotodonta,Mammalia,Chordata,Animalia,"6,666,893,739",0.01,QLD,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=88022,13.85999973,0.218699988,Petaurus australis Wet Tropics subspecies
1252,1252,26775,26775,Petaurus gracilis,Mahogany Glider,Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,mammals,Petauridae,Diprotodonta,Mammalia,Chordata,Animalia,NA,0.01,QLD,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=26775,16.29999952,0.307899981,Petaurus gracilis
1253,1253,26775,26775,Petaurus gracilis,Mahogany Glider,Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,mammals,Petauridae,Diprotodonta,Mammalia,Chordata,Animalia,NA,0.01,QLD,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=26775,19.59999939,0.096099994,Petaurus gracilis
1546,1546,59278,59278,Petrogale coenensis,Cape York Rock-wallaby,Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,mammals,Macropodidae,Diprotodonta,Mammalia,Chordata,Animalia,NA,0.01,QLD,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=59278,12.53999975,0.92049996,Petrogale coenensis
1547,1547,59278,59278,Petrogale coenensis,Cape York Rock-wallaby,Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,mammals,Macropodidae,Diprotodonta,Mammalia,Chordata,Animalia,NA,0.01,QLD,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=59278,13.75999976,0.629299973,Petrogale coenensis
1135,1135,87606,87606,Petrogale concinna canescens,Nabarlek (Top End),Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,mammals,Macropodidae,Diprotodonta,Mammalia,Chordata,Animalia,NA,0.01,NT,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87606,128.4399974,3.530099851,Petrogale concinna canescens
1136,1136,87606,87606,Petrogale concinna canescens,Nabarlek (Top End),Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,mammals,Macropodidae,Diprotodonta,Mammalia,Chordata,Animalia,NA,0.01,NT,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87606,161.5599968,7.734399684,Petrogale concinna canescens
733,733,87605,87605,Petrogale concinna concinna,Nabarlek (Victoria River District),Critically Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,mammals,Macropodidae,Diprotodonta,Mammalia,Chordata,Animalia,NA,0.01,NT,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87605,20.77999944,0.266399986,Petrogale concinna concinna
1690,1690,87605,87605,Petrogale concinna concinna,Nabarlek (Victoria River District),Critically Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,mammals,Macropodidae,Diprotodonta,Mammalia,Chordata,Animalia,NA,0.01,NT,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87605,16.97999954,0.940499951,Petrogale concinna concinna
1137,1137,87607,87607,Petrogale concinna monastria,Nabarlek (Kimberley),Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,mammals,Macropodidae,Diprotodonta,Mammalia,Chordata,Animalia,NA,0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87607,111.459997,5.291399716,Petrogale concinna monastria
1138,1138,87607,87607,Petrogale concinna monastria,Nabarlek (Kimberley),Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,mammals,Macropodidae,Diprotodonta,Mammalia,Chordata,Animalia,NA,0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87607,102.3799972,1.277599932,Petrogale concinna monastria
1083,1083,90831,66649,Petrogale lateralis centralis,"Warru, Central Australian Rock-wallaby",Vulnerable,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,mammals,Macropodidae,Diprotodonta,Mammalia,Chordata,Animalia,"6,664,984,900",0.01,NT; WA; SA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=90831,71.83999566,4.177399623,Petrogale lateralis centralis
1084,1084,90831,66649,Petrogale lateralis centralis,"Warru, Central Australian Rock-wallaby",Vulnerable,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,mammals,Macropodidae,Diprotodonta,Mammalia,Chordata,Animalia,"6,664,984,900",0.01,NT; WA; SA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=90831,111.6399935,24.17579787,Petrogale lateralis centralis
